longitude,latitude,distance_from_green_street_m,green_percentage,crime_score,split,grid_row,grid_col,block_id
-88.20032482874052,40.07905936053928,3864.113358993362,0.0,0.0,train,836,729,334
-88.25906383362535,40.0786615951058,3783.4670495296323,43.75,0.15174782,train,841,228,324
-88.28297721137575,40.08407823594833,4521.592392434867,9.0,0.0,train,781,24,300
-88.25515518277629,40.11333317459737,1148.2016161995223,7.75,0.0,train,456,261,185
-88.23881350014973,40.13988935415055,3287.043208725877,50.5,0.0,train,161,400,68
-88.18731248738052,40.133171274320205,3708.905447344044,5.25,0.0,train,235,839,96
-88.21172137278938,40.0655624230332,5045.966511862458,0.0,0.0,train,986,632,392
-88.28117312016153,40.143428599918934,4956.8508968548085,0.0,0.0,train,122,39,40
-88.18328020269125,40.09930266641231,3327.279184122002,5.5,0.21715309,train,611,874,257
-88.1762537388237,40.145855545760774,5369.992953803614,0.0,0.0,train,94,933,38
-88.20849132650551,40.10122389770548,1398.6151653325885,0.0,0.034400035,train,590,659,233
-88.2547761226642,40.13692923445517,3150.6690698313464,0.0,0.0,train,194,264,65
-88.28250566115801,40.08750042013773,4255.10624117105,6.25,0.0,train,743,28,280
-88.21903059314928,40.11078140857572,37.136147668786975,0.0,36.547703,train,484,569,191
-88.23914996055957,40.06612834684291,4900.052715339309,0.0,0.0,train,980,398,387
-88.17374267622803,40.11559123213043,3932.3824989144537,0.0,0.0,train,430,955,179
-88.23818776069064,40.08368985585715,2952.572331730486,32.0,8.716696,train,785,406,308
-88.20051187937537,40.10346658773869,1796.7377487139513,35.5,0.0,train,565,727,234
-88.2168544769055,40.07997778948106,3409.545631865254,13.25,0.0,train,826,588,331
-88.21203484621968,40.08708781269355,2687.782052096651,0.0,0.0,train,747,629,292
-88.24821609617604,40.12800844490707,2038.739148794259,19.75,0.0,train,293,320,106
-88.21187131758593,40.113115746076694,700.0768917780188,8.75,25.108135,train,458,630,192
-88.23075501060583,40.114304821597365,431.11578552465056,3.0,21.138096,train,445,469,169
-88.23190716589396,40.12835555908524,1993.0850396172427,4.5,0.0,train,289,459,109
-88.27556113944945,40.118658833751155,2985.345163778535,0.0,0.0,train,397,87,141
-88.18177817795838,40.08912362370363,3999.524908659304,4.0,0.0,train,724,887,297
-88.21956964809742,40.139241614091326,3177.7780428563115,0.0,0.0,train,168,564,71
-88.18396889748912,40.10614831316539,3062.4535308993454,80.25,0.0,train,535,868,217
-88.22349149802176,40.108534162392516,223.7602980650719,0.0,12.786143,train,509,531,210
-88.19511935554668,40.102199402288065,2272.646392824493,2.5,0.1627591,train,579,773,235
-88.24078909110665,40.15412073460951,4870.707449895796,0.0,0.0,train,3,383,7
-88.2248774131854,40.122134893184246,1288.709687755452,4.25,0.23827107,train,358,519,150
-88.1891673936167,40.14380091822568,4496.418813372657,0.0,0.0,train,117,823,56
-88.26585328476705,40.08938323649023,3062.475713349997,11.25,0.0,train,722,170,283
-88.25452166657536,40.154040833686416,4976.163566099496,12.25,0.0,train,4,266,5
-88.28472342340909,40.10173128824292,3736.5140916500504,0.0,0.0,train,585,9,220
-88.24965426748761,40.10333238943247,987.7655163601097,13.5,0.0,train,567,308,226
-88.27910984916616,40.08164479081242,4461.865283658697,27.250000000000004,0.6160448,train,808,57,321
-88.19076864040564,40.107597882585445,2465.1256661348943,0.0,0.0,train,519,810,216
-88.22203567410807,40.13816326579869,3062.352510685395,0.0,0.0,train,180,543,70
